B
1
//卧室 索引=0
map 0 0 0 1017 700
player 1 200 590 0 0
clientorgonmap 2  0 202 0 0
wall 21 500 620 2 150
wall 21 0 470 1 500
ground 10 0 620 510 0
roomdoor 14 30 548 40 72 0 0 1 169
bed 28 70 552 0 0
paper 19 245 585 6 0
paper 19 285 585 7 0
tv 29 390 590 0 0
socket 30 344 595 0 0 
roomdoor 14 450 548 40 72 2 0 2 169

//厕所 索引=1
map 0 0 0 1017 700
wall 21 200 620 2 150
wall 21 0 470 1 200
ground 10 0 620 210 0
roomdoor 14 10 548 40 72 1 0 0 169
disk 31 0 0 0 0
closestool 27 155 583 0 0
washpot 32 65 580 0 0

//客厅 索引=2
map 0 0 0 1017 700
wall 21 590 620 2 150
wall 21 0 470 1 590 
ground 10 0 620 600 0
roomdoor 14 550 548 40 72 3 0 0 169
sofa 34 442 570 0 0
bulletsupply 24 0 0 0  20
safebox 33 414 600 0 0
desk 35 100 590 0 0
fiveseven 177 91 590 0 0
window 55 370 530 50 50 330 //IDB_WINDOW2
football 36 210 600 0 0
messi 37 160 555 0 0
roomdoor 14 280 548 40 72 4 0 3 169

//院子 索引=3
map 0 0 0 1017 700
wall 21 1018 620 2 620
ground 10 0 620 1030 0
ground 10 0 520 1030 0
roomdoor 14 45 548 40 72 5 0 2 169
house 20 0 304 148 316 252
tree 11 220 447 0 0
paper 19 205 585 8 0
stick 39 342 599 0 0
tree 11 660 447 0 0
homegate 38 810 508 0 0
dog 133 800 620 0 0 1

//各通道映射表
doorindextable 3 0 0 0 6 1 0 3 2 5 4
E


B
2
map 0 0 0 2000 700
player 1 0 620 0 0
clientorgonmap 2  0 202 0 0
wall 21 2000 620 2 620
ground 10 0 620 2015 0
tree 11 200 447 0 0
paper 19 245 585 1 0
tree 11 320 447 0 0
deadtree 16 550 422 0 0
paper 19 615 585 2 0
cutdowntree 15 520 595 0 0
tree 11 810 447 0 0
tree 11 930 447 0 0
tree 11 1050 447 0 0
tree 11 1170 447 0 0
tree 11 1290 447 0 0
house 20 1420 488 200 132 208
roomdoor 14 1525 548 40 72 0 2 1 169
deadtree 16 1680 422 0 0 
paper 19 1744 585 4 0
deadman 132 1683 525 30 65 1
grass 13 370 584 0 0
cloud 12 350 200 0 0
cloud 12 495 240 0 0
smallcar 17 1800 570 1 0
key 18 675 450 1 1   
key 18 1682 516 2 0
bird 131 550 470 0 0
bird 131 0 100 0 0
bird 131 200 100 0 0
bird 131 500 100 0 0
smallzombie 130 1800 620 0 0
smallzombie 130 1000 620 0 0

//屋子
map 0 0 0 1017 700
wall 21 500 620 2 150
wall 21 0 470 1 500
gound 10 0 620 510 0
window 55 100 530 50 50 330 //IDB_WINDOW2
cabinet 23 370 540 0 0 
//bow 203 400 580 0 0
paper 19 320 585 3 0
bulletsupply 24 250 616 0  20
roomdoor 14 10 548 40 72 1 0 0 169
doorindextable 3 0 0 0 2 1 0
E



B
3
//第一条街道  索引=0
map 0 0 0 2500 700 
player 1 0 620 0 0
clientorgonmap 2  0 202 0 0
wall 21 2500 620 2 620
ground 10 0 620 2515 0
cloud 12 50 200 0 0
cloud 12 180 200 0 0
cloud 12 880 200 1 0
roadsign 25 100 569 0 0
paper 19 100 580 5 0 //index = 5
door 14 288 538 40 72 0 0 1 169 //to 公交车
busfrontdoor 14 450 538 32 72 2 0 1 222 //to 公交车
bus 26 150 520 0 0
truck 42 510 520 323 100
bike 44 900 574 75 46
trucka 43 1010 520 112 100
roaddirectlight 48 2240 549 20 71 4 0 2 0 //to 第二街道
house 20 1750 212 327 408 328
door 14 1780 548 40 72 12 0 6 169 //to 军火室一层 索引=12
door 14 1755 140 40 72 19 0 7 169 //to 军火室一层与二层楼梯间 索引=19
ground 10 1750 210 327 0 //楼顶平台
cloud 12 1100 200 1 0
cloud 12 1250 200 1 0
cloud 12 1400 200 1 0
cloud 12 1530 200 1 0
house 20 1230 416 389 204 311 //面具店
ground 10 1230 432 389 0 //楼顶平台
roomdoor 14 1350 548 40 72 10 0 5 169 //to 面具店 索引=10
spider 135 430 580 0 0 150 520 517 625 //公交车上
spider 135 530 530 0 0 510 520 833 625 //货车上
deadman 132 500 620 54 31 2
//ak 166 10 615 0 0
hunter 134 1000 620 0 0

//公交车上 索引=1
map 0 0 0 1017 700
wall 21 570 620 2 120
wall 21 0 500 1 570
ground 10 0 620 580 0
busdoor 14 250 547 40 73 1 0 0 221
busfrontdoor 14 530 548 32 72 3 0 0 222
deadman 132 230 620 54 31 3
busset 40  225 598 0 0
busset 40  165 598 0 0
busset 40  105 598 0 0
busset 40  45 598 0 0
busset 40  295 598 0 0
busset 40  345 598 0 0
busset 40  405 598 0 0
busset 40  465 598 0 0
window 55 20 530 50 50 330 //IDB_WINDOW2
window 55 100 530 50 50 330 //IDB_WINDOW2
window 55 180 530 50 50 330 //IDB_WINDOW2
window 55 300 530 50 50 330 //IDB_WINDOW2
window 55 380 530 50 50 330 //IDB_WINDOW2
window 55 460 530 50 50 330 //IDB_WINDOW2
bloodsupply 54 10 596 24 24 315 100
usp 180 125 615 0 0 //ID_USP

//第二条街道 索引=2
